1,group1,3,situps,16,frog squats,16,goblet squats,12,face pulls,8
1,group1,3,pushups,20,db tricep kickbacks,20,db front raise,12,,
1,group1,4,swing lunges,2,trx chest press,2,db rdl,2,db leg raises,8
1,group1,5,forward lunges,2,bulgarian split squat,2,trx one leg squat pullups,2,,
1,group1,3,db deadlift,2,db squat(above shoulder),2,dips,2,back extension,2
2,group1,2,db reverse flys,16,db curls,16,db rows,16,seated rows,2
2,group1,3,weighted crunches,20,bird dog planks,20,superman,20,,
2,group1,3,trx cursty lunges,2,,,,,,
2,group1,3,split squat,2,front squat,2,,,,
2,group1,2,t-bar,2,trx power pulls,2,,,,
3,group1,4,woodchoppers,16,cable rows (from bench and standing),16,superman,16,db squat(above shoulder),2
3,group1,3,bird-dog,20,decline situps,20,abs roll-out,20,,
3,group1,3,bicycle crunch	kb deficit deadlifts	leg raises from ground holding dumbbells staight up	db rdl,2,,,,,,
3,group1,4,db squat(above shoulder),2,split squat,2,trx one leg squat pullups,2,,
3,group1,4,bicycle crunch,2,plank reaches,2,side planks,2,,
1,group2,3,situps,3,frog squats,3,goblet squats,3,face pulls,3
1,group2,3,pushups,3,db tricep kickbacks,3,db front raise,3,,
1,group2,4,swing lunges,3,trx chest press,3,db rdl,3,db leg raises,3
1,group2,5,forward lunges,3,bulgarian split squat,3,trx one leg squat pullups,3,,
1,group2,3,db deadlift,3,db squat(above shoulder),3,dips,3,back extension,3
2,group2,2,db reverse flys,5,db curls,3,db rows,3,seated rows,3
2,group2,3,weighted crunches,3,bird dog planks,3,superman,3,,
2,group2,3,trx cursty lunges,3,,,,,,
2,group2,3,split squat,3,front squat,3,,,,
2,group2,2,t-bar,3,trx power pulls,3,,,,
3,group2,4,woodchoppers,3,cable rows (from bench and standing),3,superman,3,db squat(above shoulder),3
3,group2,3,bird-dog,3,decline situps,3,abs roll-out,3,,
3,group2,3,bicycle crunch	kb deficit deadlifts	leg raises from ground holding dumbbells staight up	db rdl,3,,,,,,
3,group2,4,db squat(above shoulder),3,split squat,3,trx one leg squat pullups,3,,
3,group2,4,bicycle crunch,3,plank reaches,3,side planks,3,,
